strain	accession	date	country	Release-date
MK124579	MK124579	1984-XX-XX	Italy	Release_Date
KJ744255	KJ744255	2003-04-XX	Iran	2019-01-29T00:00:00Z
KJ744230	KJ744230	2004-10-XX	Iran	2015-02-25T00:00:00Z
KJ744250	KJ744250	2004-10-XX	Iran	2015-02-25T00:00:00Z
KJ744256	KJ744256	2005-10-XX	Iran	2015-02-25T00:00:00Z
KJ744218	KJ744218	2006-05-XX	Iran	2015-02-25T00:00:00Z
KJ744245	KJ744245	2006-05-XX	Iran	2015-02-25T00:00:00Z
KJ744215	KJ744215	2006-06-XX	Iran	2015-02-25T00:00:00Z
KJ744232	KJ744232	2006-07-XX	Iran	2015-02-25T00:00:00Z
KJ744253	KJ744253	2007-02-XX	Iran	2015-02-25T00:00:00Z
KJ744243	KJ744243	2007-02-XX	Iran	2015-02-25T00:00:00Z
KJ744249	KJ744249	2007-03-XX	Iran	2015-02-25T00:00:00Z
KJ744247	KJ744247	2007-05-XX	Iran	2015-02-25T00:00:00Z
KJ744216	KJ744216	2007-06-XX	Iran	2015-02-25T00:00:00Z
KJ744244	KJ744244	2007-08-XX	Iran	2015-02-25T00:00:00Z
KJ744220	KJ744220	2007-08-XX	Iran	2015-02-25T00:00:00Z
KJ744221	KJ744221	2007-09-XX	Iran	2015-02-25T00:00:00Z
KJ744225	KJ744225	2007-09-XX	Iran	2015-02-25T00:00:00Z
KJ744257	KJ744257	2008-01-XX	Iran	2015-02-25T00:00:00Z
KJ744227	KJ744227	2008-01-XX	Iran	2015-02-25T00:00:00Z
KY861351	KY861351	2008-01-12	Cameroon	2015-02-25T00:00:00Z
KJ744238	KJ744238	2008-02-XX	Iran	2018-02-07T00:00:00Z
KJ744233	KJ744233	2008-02-XX	Iran	2015-02-25T00:00:00Z
KJ744235	KJ744235	2008-02-XX	Iran	2015-02-25T00:00:00Z
KJ744237	KJ744237	2008-02-XX	Iran	2015-02-25T00:00:00Z
KJ744240	KJ744240	2008-02-XX	Iran	2015-02-25T00:00:00Z
KJ744234	KJ744234	2008-02-XX	Iran	2015-02-25T00:00:00Z
KJ744228	KJ744228	2008-02-XX	Iran	2015-02-25T00:00:00Z
KJ744242	KJ744242	2008-02-XX	Iran	2015-02-25T00:00:00Z
KJ744241	KJ744241	2008-02-XX	Iran	2015-02-25T00:00:00Z
KJ744214	KJ744214	2008-03-XX	Iran	2015-02-25T00:00:00Z
KY861353	KY861353	2008-03-25	Cameroon	2015-02-25T00:00:00Z
KJ744254	KJ744254	2008-04-XX	Iran	2018-02-07T00:00:00Z
KJ744222	KJ744222	2008-04-XX	Iran	2015-02-25T00:00:00Z
KJ744217	KJ744217	2008-06-XX	Iran	2015-02-25T00:00:00Z
KJ744226	KJ744226	2008-09-XX	Iran	2015-02-25T00:00:00Z
KY861350	KY861350	2008-09-04	Cameroon	2015-02-25T00:00:00Z
KJ744229	KJ744229	2008-12-XX	Iran	2018-02-07T00:00:00Z
KJ744223	KJ744223	2008-12-XX	Iran	2015-02-25T00:00:00Z
KY861354	KY861354	1905-07-01	Cameroon	2015-02-25T00:00:00Z
KJ744231	KJ744231	2009-06-XX	Iran	2018-02-07T00:00:00Z
HM046802	HM046802	2009-12-21	China	2015-02-25T00:00:00Z
KJ744224	KJ744224	2010-02-XX	Iran	2010-06-06T00:00:00Z
KJ744248	KJ744248	2010-04-XX	Iran	2015-02-25T00:00:00Z
KC590319	KC590319	2011-06-10	Brazil	2015-02-25T00:00:00Z
MG926377	MG926377	2012-12-19	Israel	2013-04-08T00:00:00Z
MG926379	MG926379	2013-01-01	Israel	2018-04-10T00:00:00Z
MG926378	MG926378	2013-02-06	Israel	2018-04-10T00:00:00Z
MG926380	MG926380	2013-07-04	Israel	2018-04-10T00:00:00Z
KT722840	KT722840	2014-08-12	China	2018-04-10T00:00:00Z
MG926382	MG926382	2015-04-05	Israel	2015-10-27T00:00:00Z
MG926381	MG926381	2015-06-25	Israel	2018-04-10T00:00:00Z
MH791028	MH791028	2017-07-XX	Russia	2018-04-10T00:00:00Z
MH791029	MH791029	2017-07-XX	Russia	2019-04-21T00:00:00Z
MH791027	MH791027	2017-07-XX	Russia	2019-04-21T00:00:00Z
MH791030	MH791030	2017-07-XX	Russia	2019-04-21T00:00:00Z
MH844625	MH844625	2017-09-XX	Pakistan	2019-04-21T00:00:00Z
MK890224	MK890224	2018-04-XX	Pakistan	2019-04-24T00:00:00Z
MK890225	MK890225	2018-08-XX	Pakistan	2019-12-09T00:00:00Z
MK890226	MK890226	2018-08-XX	Pakistan	2019-12-09T00:00:00Z
MK890234	MK890234	2018-09-XX	Pakistan	2019-12-09T00:00:00Z
MK890235	MK890235	2018-09-XX	Pakistan	2019-12-09T00:00:00Z
MK890232	MK890232	2018-09-XX	Pakistan	2019-12-09T00:00:00Z
MK890233	MK890233	2018-09-XX	Pakistan	2019-12-09T00:00:00Z
MK890227	MK890227	2018-09-XX	Pakistan	2019-12-09T00:00:00Z
MK890228	MK890228	2018-09-XX	Pakistan	2019-12-09T00:00:00Z
MK890229	MK890229	2018-09-XX	Pakistan	2019-12-09T00:00:00Z
MK890230	MK890230	2018-09-XX	Pakistan	2019-12-09T00:00:00Z
MK890231	MK890231	2018-09-XX	Pakistan	2019-12-09T00:00:00Z